marca,categoria,canal,precio,costo,margen,margen_pct,competencia,demanda,tendencia,estacionalidad,rating_conexion,comentario,sentiment_score,conexion_score,conexion_alta,ventas_unidades,ventas_ingresos,utilidad,score_latente,exito
HoneyOats,cereal,retail,85.3,55.23,30.07,35.25,6,62,63,baja,6,Es un cereal promedio,0,47.0,0,8561,730253.3,257429.27,9.66,0
VitalMix,cereal,retail,62.7,36.68,26.02,41.5,8,88,60,media,7,Podría mejorar el sabor,0,54.0,0,17435,1093174.5,453658.7,28.2,1
CornCrisp,cereal,marketplace,72.01,49.46,22.55,31.32,7,79,65,media,7,Podría mejorar el sabor,0,54.0,0,10991,791461.91,247847.05,16.73,0
KidsStar,cereal,retail,113.26,61.33,51.93,45.85,9,70,77,media,5,Es un cereal promedio,0,40.0,0,6427,727922.02,333754.11,4.73,0
ChocoBoom,cereal,marketplace,76.68,39.38,37.3,48.64,6,89,50,baja,5,Es un cereal promedio,0,40.0,0,10294,789343.92,383966.2,18.11,0
ChocoBoom,cereal,marketplace,73.3,53.47,19.83,27.05,7,69,64,media,7,"Nada extraordinario, pero ok",0,54.0,0,10169,745387.7,201651.27,6.81,0
FitMorning,cereal,retail,128.09,85.57,42.52,33.2,8,69,67,media,7,"Está bien, cumple",0,54.0,0,6205,794798.45,263836.6,9.45,0
VitalMix,cereal,retail,129.83,71.06,58.77,45.27,10,68,82,media,7,"Nada extraordinario, pero ok",0,54.0,0,5982,776643.06,351562.14,-3.6,0
GoldenGrain,cereal,retail,109.97,74.53,35.44,32.23,7,55,64,media,9,Gran relación calidad-precio,1,83.0,1,8069,887347.93,285965.36,20.35,1
FitMorning,cereal,marketplace,97.42,66.05,31.37,32.2,6,74,57,media,6,Lo compraría solo en promoción,0,47.0,0,8188,797674.96,256857.56,19.86,1
CerealNova,cereal,marketplace,66.41,35.08,31.33,47.18,9,83,63,alta,5,"Nada extraordinario, pero ok",0,40.0,0,11254,747378.14,352587.82,16.05,0
CrunchMax,cereal,retail,84.54,56.78,27.76,32.84,7,67,53,baja,6,Es un cereal promedio,0,47.0,0,8623,728988.42,239374.48,10.61,0
CrunchMax,cereal,retail,78.16,45.02,33.14,42.4,8,81,56,baja,7,Podría mejorar el sabor,0,54.0,0,11011,860619.76,364904.54,15.33,0
CornCrisp,cereal,retail,70.61,44.14,26.47,37.49,7,74,56,baja,8,Me identifico con la propuesta saludable,1,76.0,1,13437,948786.57,355677.39,28.42,1
FitMorning,cereal,retail,114.91,66.64,48.27,42.01,8,74,63,media,6,"Está bien, cumple",0,47.0,0,7088,814482.08,342137.76,-4.39,0
FitMorning,cereal,retail,139.26,70.11,69.15,49.66,8,49,56,baja,7,Podría mejorar el sabor,0,54.0,0,3404,474041.04,235386.6,-7.01,0
FiberPlus,cereal,retail,100.02,64.06,35.96,35.95,7,44,75,media,5,"Está bien, cumple",0,40.0,0,5517,551810.34,198391.32,17.17,0
KidsStar,cereal,retail,89.67,45.05,44.62,49.76,5,79,79,media,8,"Me gusta mucho esta marca, la volvería a comprar",1,76.0,1,15843,1420641.81,706914.66,54.7,1
FiberPlus,cereal,marketplace,129.4,71.27,58.13,44.92,6,65,84,alta,8,Me identifico con la propuesta saludable,1,76.0,1,7679,993662.6,446380.27,38.3,1
GoldenGrain,cereal,retail,120.72,68.8,51.92,43.01,4,70,67,media,6,"Está bien, cumple",0,47.0,0,7919,955981.68,411154.48,37.08,1
ChocoBoom,cereal,retail,101.78,53.05,48.73,47.88,6,75,68,media,7,"Está bien, cumple",0,54.0,0,9733,990624.74,474289.09,21.45,1
FitMorning,cereal,retail,113.5,53.57,59.93,52.8,7,71,59,media,5,"Está bien, cumple",0,40.0,0,7129,809141.5,427240.97,19.43,0
HoneyOats,cereal,retail,128.88,64.39,64.49,50.04,8,58,64,baja,6,"Nada extraordinario, pero ok",0,47.0,0,4175,538074.0,269245.75,2.86,0
GoldenGrain,cereal,retail,91.75,57.81,33.94,36.99,7,56,63,baja,4,No conecté con la marca,-1,18.0,0,6012,551601.0,204047.28,-3.33,0
CerealNova,cereal,retail,82.23,43.83,38.4,46.7,4,71,48,media,6,Lo compraría solo en promoción,0,47.0,0,11378,935612.94,436915.2,28.71,1
GoldenGrain,cereal,marketplace,107.66,59.93,47.73,44.33,6,77,44,media,5,Podría mejorar el sabor,0,40.0,0,7060,760079.6,336973.8,14.89,0
FiberPlus,cereal,marketplace,98.15,63.84,34.31,34.96,9,61,90,media,8,Se siente premium y de buena calidad,1,76.0,1,7787,764294.05,267171.97,15.77,0
FiberPlus,cereal,retail,97.34,48.22,49.12,50.46,10,74,89,alta,7,Podría mejorar el sabor,0,54.0,0,10904,1061395.36,535604.48,15.12,0
FiberPlus,cereal,retail,103.2,70.98,32.22,31.22,5,64,77,media,7,Es un cereal promedio,0,54.0,0,9556,986179.2,307894.32,36.53,1
CornCrisp,cereal,retail,60.56,30.83,29.73,49.09,5,82,58,media,5,"Nada extraordinario, pero ok",0,40.0,0,15213,921299.28,452282.49,43.64,1
KidsStar,cereal,retail,88.27,40.98,47.29,53.57,7,82,64,alta,4,No me gustó el sabor,-1,18.0,0,10169,897617.63,480892.01,25.29,1
KidsStar,cereal,retail,77.44,39.66,37.78,48.79,5,71,61,baja,7,Podría mejorar el sabor,0,54.0,0,12441,963431.04,470020.98,30.19,1
CerealNova,cereal,retail,76.56,51.49,25.07,32.75,5,74,32,media,7,Lo compraría solo en promoción,0,54.0,0,11768,900958.08,295023.76,27.02,1
GoldenGrain,cereal,retail,87.21,54.63,32.58,37.36,8,61,67,media,5,Lo compraría solo en promoción,0,40.0,0,8300,723843.0,270414.0,6.33,0
CerealNova,cereal,marketplace,71.23,39.33,31.9,44.78,8,76,47,media,7,Podría mejorar el sabor,0,54.0,0,9895,704820.85,315650.5,10.38,0
KidsStar,cereal,marketplace,90.07,51.08,38.99,43.29,8,89,73,alta,8,Se siente premium y de buena calidad,1,76.0,1,13723,1236030.61,535059.77,33.83,1
FitMorning,cereal,retail,124.95,57.89,67.06,53.67,10,62,74,media,7,Es un cereal promedio,0,54.0,0,5603,700094.85,375737.18,3.02,0
ChocoBoom,cereal,marketplace,99.01,63.23,35.78,36.14,10,89,56,media,5,Es un cereal promedio,0,40.0,0,7055,698515.55,252427.9,1.95,0
CrunchMax,cereal,marketplace,72.92,45.25,27.67,37.95,9,80,74,media,7,Es un cereal promedio,0,54.0,0,10435,760920.2,288736.45,11.37,0
FitMorning,cereal,retail,115.23,64.39,50.84,44.12,6,55,66,media,7,"Nada extraordinario, pero ok",0,54.0,0,6268,722261.64,318665.12,21.66,1
HoneyOats,cereal,retail,50.55,23.59,26.96,53.33,9,78,48,baja,8,Me encanta el sabor y la textura,1,76.0,1,13282,671405.1,358082.72,12.96,0
CornCrisp,cereal,retail,80.95,47.27,33.68,41.61,6,67,51,media,8,Me identifico con la propuesta saludable,1,76.0,1,11852,959419.4,399175.36,38.61,1
HoneyOats,cereal,retail,70.73,48.48,22.25,31.46,9,72,55,baja,5,Es un cereal promedio,0,40.0,0,8937,632114.01,198848.25,1.49,0
GoldenGrain,cereal,retail,120.52,58.2,62.32,51.71,7,60,39,baja,5,"Nada extraordinario, pero ok",0,40.0,0,4638,558971.76,289040.16,3.0,0
FiberPlus,cereal,retail,95.68,54.02,41.66,43.54,5,74,52,alta,7,"Está bien, cumple",0,54.0,0,12281,1175046.08,511626.46,40.69,1
KidsStar,cereal,retail,90.49,51.88,38.61,42.67,6,82,43,media,3,No lo volvería a comprar,-1,11.0,0,8541,772875.09,329768.01,4.76,0
CerealNova,cereal,retail,64.14,41.81,22.33,34.81,6,71,65,baja,6,Es un cereal promedio,0,47.0,0,13339,855563.46,297859.87,36.91,1
GoldenGrain,cereal,retail,78.85,37.84,41.01,52.01,7,74,46,baja,6,Podría mejorar el sabor,0,47.0,0,10649,839673.65,436715.49,13.85,0
HoneyOats,cereal,retail,60.03,30.4,29.63,49.36,9,81,36,media,7,Podría mejorar el sabor,0,54.0,0,12354,741610.62,366049.02,8.29,0
ChocoBoom,cereal,retail,66.71,35.49,31.22,46.8,7,86,68,alta,6,Podría mejorar el sabor,0,47.0,0,18611,1241539.81,581035.42,41.98,1
HoneyOats,cereal,marketplace,78.06,43.33,34.73,44.49,9,80,50,media,7,Podría mejorar el sabor,0,54.0,0,8906,695202.36,309305.38,16.63,0
VitalMix,cereal,marketplace,105.84,57.52,48.32,45.65,10,74,53,alta,7,"Está bien, cumple",0,54.0,0,6798,719500.32,328479.36,0.96,0
FiberPlus,cereal,retail,133.04,65.61,67.43,50.68,10,51,73,baja,7,Es un cereal promedio,0,54.0,0,3556,473090.24,239781.08,-5.7,0
VitalMix,cereal,retail,101.98,48.63,53.35,52.31,8,63,94,media,7,Lo compraría solo en promoción,0,54.0,0,8876,905174.48,473534.6,23.2,1
CrunchMax,cereal,marketplace,97.8,71.65,26.15,26.74,7,80,42,media,5,Lo compraría solo en promoción,0,40.0,0,6964,681079.2,182108.6,10.29,0
GoldenGrain,cereal,marketplace,126.59,64.48,62.11,49.06,7,79,52,media,5,"Está bien, cumple",0,40.0,0,6005,760172.95,372970.55,7.75,0
GoldenGrain,cereal,retail,147.74,90.88,56.86,38.49,8,79,58,media,6,Lo compraría solo en promoción,0,47.0,0,5657,835765.18,321657.02,3.27,0
CrunchMax,cereal,retail,60.39,39.26,21.13,34.99,10,84,42,alta,6,"Nada extraordinario, pero ok",0,47.0,0,13067,789116.13,276105.71,8.62,0
CerealNova,cereal,retail,72.18,45.26,26.92,37.3,8,91,63,alta,5,Es un cereal promedio,0,40.0,0,15307,1104859.26,412064.44,31.11,1
CerealNova,cereal,marketplace,112.07,62.82,49.25,43.95,8,63,49,media,8,"Me gusta mucho esta marca, la volvería a comprar",1,76.0,1,6221,697187.47,306384.25,21.1,1
FitMorning,cereal,retail,133.89,93.52,40.37,30.15,7,71,65,media,6,Podría mejorar el sabor,0,47.0,0,5640,755139.6,227686.8,10.06,0
FitMorning,cereal,marketplace,114.81,65.54,49.27,42.91,7,68,55,media,6,Podría mejorar el sabor,0,47.0,0,5765,661879.65,284041.55,12.39,0
FiberPlus,cereal,retail,113.14,72.35,40.79,36.05,3,69,75,media,6,Es un cereal promedio,0,47.0,0,9282,1050165.48,378612.78,45.2,1
KidsStar,cereal,marketplace,94.57,64.95,29.62,31.32,7,68,39,baja,8,Me encanta el sabor y la textura,1,76.0,1,7246,685254.22,214626.52,10.7,0
FiberPlus,cereal,retail,114.18,56.46,57.72,50.55,8,68,69,alta,5,Es un cereal promedio,0,40.0,0,7347,838880.46,424068.84,11.5,0
CrunchMax,cereal,marketplace,102.97,58.42,44.55,43.27,7,81,70,media,5,Lo compraría solo en promoción,0,40.0,0,7641,786793.77,340406.55,17.1,0
HoneyOats,cereal,retail,65.45,31.28,34.17,52.21,8,90,57,alta,6,"Está bien, cumple",0,47.0,0,16795,1099232.75,573885.15,17.82,0
CornCrisp,cereal,marketplace,76.62,44.87,31.75,41.44,6,91,69,alta,5,Lo compraría solo en promoción,0,40.0,0,12989,995217.18,412400.75,40.95,1
CornCrisp,cereal,retail,89.55,45.85,43.7,48.8,9,70,44,media,6,Es un cereal promedio,0,47.0,0,7563,677266.65,330503.1,9.39,0
GoldenGrain,cereal,retail,104.9,70.41,34.49,32.88,5,89,54,alta,7,Podría mejorar el sabor,0,54.0,0,13773,1444787.7,475030.77,37.4,1
HoneyOats,cereal,retail,110.68,71.14,39.54,35.72,10,55,58,media,5,"Está bien, cumple",0,40.0,0,4375,484225.0,172987.5,-13.71,0
FiberPlus,cereal,retail,95.91,55.45,40.46,42.19,5,77,63,media,7,Lo compraría solo en promoción,0,54.0,0,12075,1158113.25,488554.5,18.42,0
FitMorning,cereal,retail,115.29,62.42,52.87,45.86,6,75,53,media,6,Podría mejorar el sabor,0,47.0,0,7730,891191.7,408685.1,15.74,0
VitalMix,cereal,marketplace,99.19,67.42,31.77,32.03,5,87,61,alta,7,Es un cereal promedio,0,54.0,0,11550,1145644.5,366943.5,35.46,1
KidsStar,cereal,retail,96.21,58.86,37.35,38.82,8,82,66,media,7,Es un cereal promedio,0,54.0,0,11164,1074088.44,416975.4,26.92,1
ChocoBoom,cereal,retail,72.38,40.66,31.72,43.82,8,90,56,media,8,Se siente premium y de buena calidad,1,76.0,1,17642,1276927.96,559604.24,24.43,1
ChocoBoom,cereal,retail,110.53,72.82,37.71,34.12,7,81,73,alta,8,"Me gusta mucho esta marca, la volvería a comprar",1,76.0,1,12627,1395662.31,476164.17,37.19,1
KidsStar,cereal,marketplace,54.22,37.75,16.47,30.38,7,91,49,media,7,Podría mejorar el sabor,0,54.0,0,14620,792696.4,240791.4,25.04,1
FiberPlus,cereal,marketplace,116.89,60.96,55.93,47.85,7,66,61,media,6,Es un cereal promedio,0,47.0,0,5870,686144.3,328309.1,6.56,0
CerealNova,cereal,marketplace,88.09,43.65,44.44,50.45,3,64,57,baja,7,Es un cereal promedio,0,54.0,0,8574,755283.66,381028.56,45.8,1
VitalMix,cereal,retail,119.71,58.67,61.04,50.99,7,49,61,media,4,No me gustó el sabor,-1,18.0,0,3685,441131.35,224932.4,2.78,0
GoldenGrain,cereal,marketplace,116.78,56.85,59.93,51.32,8,76,54,media,4,Me pareció caro para lo que ofrece,-1,18.0,0,4851,566499.78,290720.43,3.94,0
CrunchMax,cereal,marketplace,69.35,40.1,29.25,42.18,10,73,42,media,6,"Está bien, cumple",0,47.0,0,7487,519223.45,218994.75,0.22,0
HoneyOats,cereal,retail,86.24,51.12,35.12,40.72,7,80,46,alta,4,Me pareció caro para lo que ofrece,-1,18.0,0,9018,777712.32,316712.16,20.8,1
CornCrisp,cereal,marketplace,72.77,37.09,35.68,49.03,7,61,57,media,8,Me encanta el sabor y la textura,1,76.0,1,9429,686148.33,336426.72,23.05,1
GoldenGrain,cereal,retail,130.03,67.04,62.99,48.44,10,59,43,baja,6,Podría mejorar el sabor,0,47.0,0,4069,529092.07,256306.31,-12.0,0
ChocoBoom,cereal,retail,68.98,41.68,27.3,39.58,7,77,62,media,8,Se siente premium y de buena calidad,1,76.0,1,17016,1173763.68,464536.8,30.02,1
HoneyOats,cereal,retail,77.54,47.5,30.04,38.74,6,64,49,alta,5,"Nada extraordinario, pero ok",0,40.0,0,10562,818977.48,317282.48,24.92,1
CrunchMax,cereal,retail,115.0,79.17,35.83,31.16,7,63,48,media,6,"Nada extraordinario, pero ok",0,47.0,0,5593,643195.0,200397.19,16.84,0
KidsStar,cereal,retail,125.01,84.61,40.4,32.32,8,60,44,media,8,"Me gusta mucho esta marca, la volvería a comprar",1,76.0,1,5435,679429.35,219574.0,8.28,0
CornCrisp,cereal,retail,77.42,38.1,39.32,50.79,5,81,55,alta,6,Podría mejorar el sabor,0,47.0,0,14516,1123828.72,570769.12,41.0,1
ChocoBoom,cereal,retail,97.68,47.33,50.35,51.55,9,67,68,media,6,"Nada extraordinario, pero ok",0,47.0,0,7827,764541.36,394089.45,3.05,0
CrunchMax,cereal,retail,54.2,30.26,23.94,44.17,10,85,44,baja,8,Se siente premium y de buena calidad,1,76.0,1,13780,746876.0,329893.2,8.87,0
FiberPlus,cereal,retail,139.15,97.11,42.04,30.21,6,64,46,media,5,"Está bien, cumple",0,40.0,0,4281,595701.15,179973.24,20.75,1
FitMorning,cereal,retail,79.87,36.89,42.98,53.81,8,68,50,media,4,No me gustó el sabor,-1,18.0,0,7872,628736.64,338338.56,2.27,0
FitMorning,cereal,retail,127.02,87.74,39.28,30.92,6,72,73,alta,7,"Está bien, cumple",0,54.0,0,8119,1031275.38,318914.32,23.55,1
HoneyOats,cereal,retail,103.81,66.94,36.87,35.52,7,67,47,media,6,Podría mejorar el sabor,0,47.0,0,7194,746809.14,265242.78,2.42,0
HoneyOats,cereal,retail,87.05,42.22,44.83,51.5,8,89,64,baja,7,Es un cereal promedio,0,54.0,0,11356,988539.8,509089.48,15.69,0
CornCrisp,cereal,retail,73.21,50.83,22.38,30.57,6,95,44,media,7,Lo compraría solo en promoción,0,54.0,0,15532,1137097.72,347606.16,28.72,1
FitMorning,cereal,marketplace,100.8,52.19,48.61,48.22,8,81,58,media,7,"Está bien, cumple",0,54.0,0,8046,811036.8,391116.06,17.69,0
FitMorning,cereal,retail,69.91,46.98,22.93,32.8,6,91,38,alta,7,Lo compraría solo en promoción,0,54.0,0,18734,1309693.94,429570.62,38.49,1
CerealNova,cereal,retail,47.48,22.4,25.08,52.82,9,66,51,baja,7,"Nada extraordinario, pero ok",0,54.0,0,10270,487619.6,257571.6,17.13,0
CrunchMax,cereal,retail,81.09,56.63,24.46,30.16,7,77,49,media,4,No me convence el producto,-1,18.0,0,8207,665505.63,200743.22,1.74,0
CrunchMax,cereal,retail,89.35,55.54,33.81,37.84,4,69,53,baja,6,Lo compraría solo en promoción,0,47.0,0,9205,822466.75,311221.05,37.28,1
VitalMix,cereal,marketplace,84.67,47.87,36.8,43.46,8,75,62,media,7,"Nada extraordinario, pero ok",0,54.0,0,9248,783028.16,340326.4,11.78,0
HoneyOats,cereal,retail,59.96,32.82,27.14,45.26,8,64,48,baja,7,Es un cereal promedio,0,54.0,0,10085,604696.6,273706.9,2.94,0
GoldenGrain,cereal,marketplace,99.99,58.68,41.31,41.31,8,75,46,media,8,Gran relación calidad-precio,1,76.0,1,8903,890210.97,367782.93,21.01,1
CerealNova,cereal,retail,66.8,35.02,31.78,47.57,7,80,59,media,5,"Nada extraordinario, pero ok",0,40.0,0,13569,906409.2,431222.82,22.18,1
GoldenGrain,cereal,retail,109.27,66.77,42.5,38.89,8,66,67,media,8,Se siente premium y de buena calidad,1,76.0,1,8789,960374.03,373532.5,15.51,0
GoldenGrain,cereal,retail,94.79,60.71,34.08,35.95,8,83,53,alta,5,Podría mejorar el sabor,0,40.0,0,10909,1034064.11,371778.72,14.28,0
HoneyOats,cereal,retail,120.63,67.22,53.41,44.28,8,57,79,baja,7,"Nada extraordinario, pero ok",0,54.0,0,4907,591931.41,262082.87,9.32,0
KidsStar,cereal,retail,86.42,43.2,43.22,50.01,6,82,61,baja,7,Lo compraría solo en promoción,0,54.0,0,12148,1049830.16,525036.56,30.01,1
FitMorning,cereal,retail,108.54,71.28,37.26,34.33,7,60,77,media,5,Es un cereal promedio,0,40.0,0,7118,772587.72,265216.68,19.45,0
KidsStar,cereal,marketplace,88.16,57.72,30.44,34.53,5,80,58,alta,6,"Está bien, cumple",0,47.0,0,10814,953362.24,329178.16,38.06,1
HoneyOats,cereal,marketplace,65.88,38.21,27.67,42.0,9,94,64,alta,6,"Nada extraordinario, pero ok",0,47.0,0,12874,848139.12,356223.58,16.74,0
ChocoBoom,cereal,retail,90.59,41.19,49.4,54.53,8,74,63,media,4,Me pareció caro para lo que ofrece,-1,18.0,0,7493,678790.87,370154.2,5.32,0
HoneyOats,cereal,retail,72.19,38.4,33.79,46.81,6,98,34,alta,4,No lo volvería a comprar,-1,18.0,0,13170,950742.3,445014.3,31.98,1
HoneyOats,cereal,retail,85.2,53.33,31.87,37.41,7,67,44,baja,5,"Está bien, cumple",0,40.0,0,6986,595207.2,222643.82,9.25,0
FitMorning,cereal,marketplace,130.46,79.63,50.83,38.96,7,50,91,baja,6,Podría mejorar el sabor,0,47.0,0,4298,560717.08,218467.34,8.24,0
CerealNova,cereal,retail,73.44,40.96,32.48,44.23,6,75,63,media,7,Podría mejorar el sabor,0,54.0,0,14090,1034769.6,457643.2,25.81,1
CerealNova,cereal,retail,60.13,37.9,22.23,36.97,8,80,51,alta,8,"Me gusta mucho esta marca, la volvería a comprar",1,76.0,1,18417,1107414.21,409409.91,36.57,1
CrunchMax,cereal,retail,79.82,52.68,27.14,34.0,7,75,70,alta,7,Lo compraría solo en promoción,0,54.0,0,14172,1131209.04,384628.08,40.08,1
CrunchMax,cereal,marketplace,90.81,61.88,28.93,31.86,8,72,43,media,5,"Nada extraordinario, pero ok",0,40.0,0,6245,567108.45,180667.85,-7.88,0
CornCrisp,cereal,marketplace,84.86,57.55,27.31,32.18,8,70,79,media,8,Se siente premium y de buena calidad,1,76.0,1,9545,809988.7,260673.95,29.03,1
FitMorning,cereal,marketplace,92.8,56.22,36.58,39.42,9,69,84,alta,7,Lo compraría solo en promoción,0,54.0,0,8904,826291.2,325708.32,20.49,1
FitMorning,cereal,retail,136.19,75.08,61.11,44.87,7,53,81,baja,7,Es un cereal promedio,0,54.0,0,4261,580305.59,260389.71,17.24,0
GoldenGrain,cereal,marketplace,116.92,84.89,32.03,27.39,6,73,50,alta,4,No conecté con la marca,-1,18.0,0,6030,705027.6,193140.9,14.24,0
FiberPlus,cereal,retail,123.35,69.56,53.79,43.61,10,68,62,media,6,Lo compraría solo en promoción,0,47.0,0,5302,654001.7,285194.58,-2.19,0
HoneyOats,cereal,retail,94.48,54.16,40.32,42.68,6,65,56,media,5,Podría mejorar el sabor,0,40.0,0,7619,719843.12,307198.08,12.12,0
KidsStar,cereal,retail,82.96,52.07,30.89,37.23,4,89,57,media,7,Es un cereal promedio,0,54.0,0,16154,1340135.84,498997.06,43.95,1
FitMorning,cereal,retail,111.66,68.93,42.73,38.27,9,66,68,media,8,Me identifico con la propuesta saludable,1,76.0,1,7853,876865.98,335558.69,14.37,0
CornCrisp,cereal,marketplace,91.62,63.57,28.05,30.62,9,76,51,alta,6,"Está bien, cumple",0,47.0,0,7684,704008.08,215536.2,11.61,0
CerealNova,cereal,retail,60.79,40.81,19.98,32.87,7,80,48,baja,4,No me gustó el sabor,-1,18.0,0,10323,627535.17,206253.54,8.28,0
VitalMix,cereal,retail,129.24,82.23,47.01,36.37,6,50,87,media,5,"Nada extraordinario, pero ok",0,40.0,0,4213,544488.12,198053.13,13.02,0
GoldenGrain,cereal,retail,128.88,83.89,44.99,34.91,7,58,51,baja,6,Podría mejorar el sabor,0,47.0,0,4457,574418.16,200520.43,2.18,0
ChocoBoom,cereal,retail,92.14,61.5,30.64,33.25,6,87,53,media,8,"Me gusta mucho esta marca, la volvería a comprar",1,76.0,1,14491,1335200.74,444004.24,37.29,1
HoneyOats,cereal,retail,45.25,23.92,21.33,47.14,5,75,41,baja,7,Es un cereal promedio,0,54.0,0,13260,600015.0,282835.8,36.86,1
VitalMix,cereal,retail,104.74,69.87,34.87,33.29,9,67,73,media,7,Lo compraría solo en promoción,0,54.0,0,7577,793614.98,264209.99,0.4,0
ChocoBoom,cereal,retail,80.97,47.63,33.34,41.18,7,96,41,media,5,"Está bien, cumple",0,40.0,0,13208,1069451.76,440354.72,27.58,1
CrunchMax,cereal,retail,60.82,36.08,24.74,40.68,9,87,44,media,7,Podría mejorar el sabor,0,54.0,0,14175,862123.5,350689.5,19.89,1
HoneyOats,cereal,retail,126.87,83.18,43.69,34.44,7,75,36,media,6,"Está bien, cumple",0,47.0,0,5335,676851.45,233086.15,5.85,0
CrunchMax,cereal,retail,106.28,60.74,45.54,42.85,7,61,65,media,5,Es un cereal promedio,0,40.0,0,6694,711438.32,304844.76,13.54,0
VitalMix,cereal,marketplace,106.06,65.4,40.66,38.34,9,65,53,media,5,Lo compraría solo en promoción,0,40.0,0,5509,584284.54,223995.94,-3.7,0
GoldenGrain,cereal,marketplace,108.43,74.67,33.76,31.14,5,55,40,baja,7,Es un cereal promedio,0,54.0,0,5461,592136.23,184363.36,22.1,1
ChocoBoom,cereal,retail,91.2,42.88,48.32,52.98,10,88,64,alta,7,Es un cereal promedio,0,54.0,0,11712,1068134.4,565923.84,14.31,0
FitMorning,cereal,marketplace,138.72,96.57,42.15,30.38,8,48,64,media,7,Podría mejorar el sabor,0,54.0,0,3007,417131.04,126745.05,-3.09,0
HoneyOats,cereal,retail,85.15,53.48,31.67,37.19,6,76,88,media,8,Me encanta el sabor y la textura,1,76.0,1,15311,1303731.65,484899.37,45.63,1
GoldenGrain,cereal,retail,88.23,46.75,41.48,47.01,7,62,48,media,5,"Nada extraordinario, pero ok",0,40.0,0,8194,722956.62,339887.12,15.97,0
GoldenGrain,cereal,marketplace,94.89,59.1,35.79,37.72,5,73,51,media,6,Es un cereal promedio,0,47.0,0,8623,818236.47,308617.17,21.69,1
ChocoBoom,cereal,retail,109.31,49.57,59.74,54.65,7,87,64,alta,8,Me encanta el sabor y la textura,1,76.0,1,12970,1417750.7,774827.8,35.3,1
FiberPlus,cereal,marketplace,98.88,50.16,48.72,49.27,10,76,60,baja,5,"Nada extraordinario, pero ok",0,40.0,0,5972,590511.36,290955.84,10.45,0
FiberPlus,cereal,marketplace,115.59,77.65,37.94,32.82,8,45,81,baja,9,Me encanta el sabor y la textura,1,83.0,1,4703,543619.77,178431.82,11.57,0
ChocoBoom,cereal,retail,62.98,29.78,33.2,52.72,10,84,65,media,7,"Está bien, cumple",0,54.0,0,14836,934371.28,492555.2,21.46,1
HoneyOats,cereal,marketplace,85.21,46.97,38.24,44.88,7,73,61,baja,7,"Nada extraordinario, pero ok",0,54.0,0,7786,663445.06,297736.64,8.9,0
CerealNova,cereal,retail,109.55,53.76,55.79,50.93,6,68,68,media,7,Podría mejorar el sabor,0,54.0,0,7797,854161.35,434994.63,22.82,1
VitalMix,cereal,retail,140.92,76.35,64.57,45.82,5,67,77,alta,7,Podría mejorar el sabor,0,54.0,0,6552,923307.84,423062.64,42.28,1
FiberPlus,cereal,retail,100.42,65.43,34.99,34.84,5,48,61,baja,4,Me pareció caro para lo que ofrece,-1,18.0,0,4754,477396.68,166342.46,11.52,0
ChocoBoom,cereal,retail,74.61,36.78,37.83,50.7,7,91,61,media,7,"Está bien, cumple",0,54.0,0,15960,1190775.6,603766.8,28.28,1
FitMorning,cereal,retail,110.25,54.67,55.58,50.41,8,91,86,alta,6,"Está bien, cumple",0,47.0,0,11852,1306683.0,658734.16,19.91,1
CrunchMax,cereal,marketplace,81.19,58.37,22.82,28.11,6,92,81,alta,8,Gran relación calidad-precio,1,76.0,1,16967,1377550.73,387186.94,52.08,1
CrunchMax,cereal,marketplace,81.02,43.08,37.94,46.83,9,64,45,media,8,Me identifico con la propuesta saludable,1,76.0,1,7613,616805.26,288837.22,10.32,0
CrunchMax,cereal,retail,64.38,41.77,22.61,35.12,8,80,49,media,5,Podría mejorar el sabor,0,40.0,0,12341,794513.58,279030.01,15.6,0
HoneyOats,cereal,retail,91.31,63.59,27.72,30.36,7,68,52,alta,8,Se siente premium y de buena calidad,1,76.0,1,11442,1044769.02,317172.24,36.01,1
KidsStar,cereal,retail,67.17,36.91,30.26,45.05,6,80,50,alta,8,Me encanta el sabor y la textura,1,76.0,1,20574,1381955.58,622569.24,41.46,1
GoldenGrain,cereal,marketplace,87.94,44.87,43.07,48.98,3,66,52,media,7,Es un cereal promedio,0,54.0,0,9934,873595.96,427857.38,44.24,1
ChocoBoom,cereal,retail,73.97,42.92,31.05,41.98,7,79,78,media,8,"Me gusta mucho esta marca, la volvería a comprar",1,76.0,1,17028,1259561.16,528719.4,40.79,1
GoldenGrain,cereal,marketplace,121.96,73.11,48.85,40.05,8,45,58,baja,6,Podría mejorar el sabor,0,47.0,0,3680,448812.8,179768.0,-3.52,0
ChocoBoom,cereal,retail,91.76,63.78,27.98,30.49,5,70,60,media,6,Podría mejorar el sabor,0,47.0,0,10120,928611.2,283157.6,31.7,1
GoldenGrain,cereal,retail,129.76,75.63,54.13,41.72,7,59,51,media,4,No conecté con la marca,-1,18.0,0,4474,580546.24,242177.62,-5.54,0
HoneyOats,cereal,retail,79.48,50.21,29.27,36.83,9,91,82,alta,6,Podría mejorar el sabor,0,47.0,0,14735,1171137.8,431293.45,22.07,1
VitalMix,cereal,marketplace,102.63,65.32,37.31,36.35,6,65,64,media,7,Lo compraría solo en promoción,0,54.0,0,7584,778345.92,282959.04,25.93,1
